,topk,alpha_topk,alpha_sparsity,alpha_gt_acc,alpha_pred_acc,alpha_kld
411,11,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
412,12,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
413,13,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
414,14,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
415,15,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
416,16,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
417,17,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
418,18,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
419,19,8.0,1.0,1.0,1.0,-2.6542693376541138e-08
420,0,0.0,0.0,0.0,0.0,4.221336364746094
421,1,1.0,0.1428571492433548,0.0,0.0,4.385486602783203
422,2,2.0,0.2857142984867096,0.0,0.0,3.8059866428375244
423,3,3.0,0.4285714328289032,0.0,0.0,3.3637518882751465
424,4,4.0,0.5714285969734192,0.0,0.0,2.1643309593200684
425,5,5.0,0.7142857313156128,1.0,1.0,0.014910418540239334
426,6,6.0,0.8571428656578064,1.0,1.0,1.424923539161682e-07
427,7,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
428,8,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
429,9,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
430,10,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
431,11,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
432,12,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
433,13,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
434,14,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
435,15,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
436,16,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
437,17,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
438,18,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
439,19,7.0,1.0,1.0,1.0,-4.6566128730773926e-09
440,0,0.0,0.0,0.0,0.0,4.230648994445801
441,1,1.0,0.125,0.0,0.0,4.394968509674072
442,2,2.0,0.25,0.0,0.0,4.270780563354492
443,3,3.0,0.375,0.0,0.0,3.372168779373169
